name	version	require-dev
monolog/monolog	2.3.5	phpstan/phpstan	^0.12.91
monolog/monolog	2.3.5	phpunit/phpunit	^8.5
monolog/monolog	2.3.5	predis/predis	^1.1
monolog/monolog	2.3.5	rollbar/rollbar	^1.3
monolog/monolog	2.3.5	ruflin/elastica	>=0.90@dev
monolog/monolog	2.3.5	swiftmailer/swiftmailer	^5.3|^6.0
nesbot/carbon	2.55.2	doctrine/dbal	^2.0 || ^3.0
nesbot/carbon	2.55.2	doctrine/orm	^2.7
nesbot/carbon	2.55.2	friendsofphp/php-cs-fixer	^3.0
nesbot/carbon	2.55.2	kylekatarnls/multi-tester	^2.0
nesbot/carbon	2.55.2	phpmd/phpmd	^2.9
nesbot/carbon	2.55.2	phpstan/extension-installer	^1.0
nesbot/carbon	2.55.2	phpstan/phpstan	^0.12.54
nesbot/carbon	2.55.2	phpunit/phpunit	^7.5.20 || ^8.5.14
nesbot/carbon	2.55.2	squizlabs/php_codesniffer	^3.4
nette/schema	v1.2.2	nette/tester	^2.3 || ^2.4
nette/schema	v1.2.2	phpstan/phpstan-nette	^0.12
nette/schema	v1.2.2	tracy/tracy	^2.7
nette/utils	v3.2.6	nette/tester	~2.0
nette/utils	v3.2.6	phpstan/phpstan	^1.0
nette/utils	v3.2.6	tracy/tracy	^2.3
nikic/php-parser	v4.13.2	ircmaxell/php-yacc	^0.0.7
nikic/php-parser	v4.13.2	phpunit/phpunit	^6.5 || ^7.0 || ^8.0 || ^9.0
opis/closure	3.6.2	jeremeamia/superclosure	^2.0
opis/closure	3.6.2	phpunit/phpunit	^4.0 || ^5.0 || ^6.0 || ^7.0 || ^8.0 || ^9.0
phpoption/phpoption	1.8.1	bamarni/composer-bin-plugin	^1.4.1
phpoption/phpoption	1.8.1	phpunit/phpunit	^6.5.14 || ^7.5.20 || ^8.5.19 || ^9.5.8
psr/container	1.1.2	-	-
psr/event-dispatcher	1.0.0	-	-
psr/http-client	1.0.1	-	-
psr/http-factory	1.0.1	-	-
psr/http-message	1.0.1	-	-
psr/log	2.0.0	-	-
psr/simple-cache	1.0.1	-	-
psy/psysh	v0.10.12	bamarni/composer-bin-plugin	^1.2
psy/psysh	v0.10.12	hoa/console	3.17.*
ralouphie/getallheaders	3.0.3	php-coveralls/php-coveralls	^2.1
ralouphie/getallheaders	3.0.3	phpunit/phpunit	^5 || ^6.5
ramsey/collection	1.2.2	captainhook/captainhook	^5.3
ramsey/collection	1.2.2	dealerdirect/phpcodesniffer-composer-installer	^0.7.0
ramsey/collection	1.2.2	ergebnis/composer-normalize	^2.6
ramsey/collection	1.2.2	fakerphp/faker	^1.5
ramsey/collection	1.2.2	hamcrest/hamcrest-php	^2
ramsey/collection	1.2.2	jangregor/phpstan-prophecy	^0.8
ramsey/collection	1.2.2	mockery/mockery	^1.3
ramsey/collection	1.2.2	phpspec/prophecy-phpunit	^2.0
ramsey/collection	1.2.2	phpstan/extension-installer	^1
ramsey/collection	1.2.2	phpstan/phpstan	^0.12.32
ramsey/collection	1.2.2	phpstan/phpstan-mockery	^0.12.5
ramsey/collection	1.2.2	phpstan/phpstan-phpunit	^0.12.11
ramsey/collection	1.2.2	phpunit/phpunit	^8.5 || ^9
ramsey/collection	1.2.2	psy/psysh	^0.10.4
ramsey/collection	1.2.2	slevomat/coding-standard	^6.3
ramsey/collection	1.2.2	squizlabs/php_codesniffer	^3.5
ramsey/collection	1.2.2	vimeo/psalm	^4.4
ramsey/uuid	4.2.3	captainhook/captainhook	^5.10
ramsey/uuid	4.2.3	captainhook/plugin-composer	^5.3
ramsey/uuid	4.2.3	dealerdirect/phpcodesniffer-composer-installer	^0.7.0
ramsey/uuid	4.2.3	doctrine/annotations	^1.8
ramsey/uuid	4.2.3	ergebnis/composer-normalize	^2.15
ramsey/uuid	4.2.3	mockery/mockery	^1.3
ramsey/uuid	4.2.3	moontoast/math	^1.1
ramsey/uuid	4.2.3	paragonie/random-lib	^2
ramsey/uuid	4.2.3	php-mock/php-mock	^2.2
ramsey/uuid	4.2.3	php-mock/php-mock-mockery	^1.3
ramsey/uuid	4.2.3	php-parallel-lint/php-parallel-lint	^1.1
ramsey/uuid	4.2.3	phpbench/phpbench	^1.0
ramsey/uuid	4.2.3	phpstan/extension-installer	^1.0
ramsey/uuid	4.2.3	phpstan/phpstan	^0.12
ramsey/uuid	4.2.3	phpstan/phpstan-mockery	^0.12
ramsey/uuid	4.2.3	phpstan/phpstan-phpunit	^0.12
ramsey/uuid	4.2.3	phpunit/phpunit	^8.5 || ^9
ramsey/uuid	4.2.3	slevomat/coding-standard	^7.0
ramsey/uuid	4.2.3	squizlabs/php_codesniffer	^3.5
ramsey/uuid	4.2.3	vimeo/psalm	^4.9
swiftmailer/swiftmailer	v6.3.0	mockery/mockery	^1.0
swiftmailer/swiftmailer	v6.3.0	symfony/phpunit-bridge	^4.4|^5.4
symfony/console	v5.4.1	psr/log	^1|^2
symfony/console	v5.4.1	symfony/config	^4.4|^5.0|^6.0
symfony/console	v5.4.1	symfony/dependency-injection	^4.4|^5.0|^6.0
symfony/console	v5.4.1	symfony/event-dispatcher	^4.4|^5.0|^6.0
symfony/console	v5.4.1	symfony/lock	^4.4|^5.0|^6.0
symfony/console	v5.4.1	symfony/process	^4.4|^5.0|^6.0
symfony/console	v5.4.1	symfony/var-dumper	^4.4|^5.0|^6.0
symfony/css-selector	v6.0.1	-	-
symfony/deprecation-contracts	v3.0.0	-	-
symfony/error-handler	v5.4.1	symfony/deprecation-contracts	^2.1|^3
symfony/error-handler	v5.4.1	symfony/http-kernel	^4.4|^5.0|^6.0
symfony/error-handler	v5.4.1	symfony/serializer	^4.4|^5.0|^6.0
symfony/event-dispatcher	v6.0.1	psr/log	^1|^2|^3
symfony/event-dispatcher	v6.0.1	symfony/config	^5.4|^6.0
symfony/event-dispatcher	v6.0.1	symfony/dependency-injection	^5.4|^6.0
symfony/event-dispatcher	v6.0.1	symfony/error-handler	^5.4|^6.0
symfony/event-dispatcher	v6.0.1	symfony/expression-language	^5.4|^6.0
symfony/event-dispatcher	v6.0.1	symfony/http-foundation	^5.4|^6.0
symfony/event-dispatcher	v6.0.1	symfony/service-contracts	^1.1|^2|^3
symfony/event-dispatcher	v6.0.1	symfony/stopwatch	^5.4|^6.0
symfony/event-dispatcher-contracts	v3.0.0	-	-
symfony/finder	v5.4.0	-	-
symfony/http-foundation	v5.4.1	predis/predis	~1.0
symfony/http-foundation	v5.4.1	symfony/cache	^4.4|^5.0|^6.0
symfony/http-foundation	v5.4.1	symfony/expression-language	^4.4|^5.0|^6.0
symfony/http-foundation	v5.4.1	symfony/mime	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	psr/cache	^1.0|^2.0|^3.0
symfony/http-kernel	v5.4.1	symfony/browser-kit	^5.4|^6.0
symfony/http-kernel	v5.4.1	symfony/config	^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/console	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/css-selector	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/dependency-injection	^5.3|^6.0
symfony/http-kernel	v5.4.1	symfony/dom-crawler	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/expression-language	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/finder	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/http-client-contracts	^1.1|^2|^3
symfony/http-kernel	v5.4.1	symfony/process	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/routing	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/stopwatch	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/translation	^4.4|^5.0|^6.0
symfony/http-kernel	v5.4.1	symfony/translation-contracts	^1.1|^2|^3
symfony/http-kernel	v5.4.1	twig/twig	^2.13|^3.0.4
symfony/mime	v5.4.0	egulias/email-validator	^2.1.10|^3.1
symfony/mime	v5.4.0	phpdocumentor/reflection-docblock	^3.0|^4.0|^5.0
symfony/mime	v5.4.0	symfony/dependency-injection	^4.4|^5.0|^6.0
symfony/mime	v5.4.0	symfony/property-access	^4.4|^5.1|^6.0
symfony/mime	v5.4.0	symfony/property-info	^4.4|^5.1|^6.0
symfony/mime	v5.4.0	symfony/serializer	^5.2|^6.0
symfony/polyfill-ctype	v1.23.0	-	-
symfony/polyfill-iconv	v1.23.0	-	-
symfony/polyfill-intl-grapheme	v1.23.1	-	-
symfony/polyfill-intl-idn	v1.23.0	-	-
symfony/polyfill-intl-normalizer	v1.23.0	-	-
symfony/polyfill-mbstring	v1.23.1	-	-
symfony/polyfill-php72	v1.23.0	-	-
symfony/polyfill-php73	v1.23.0	-	-
symfony/polyfill-php80	v1.23.1	-	-
